filename,subject,q1,q2,q3,q4,mora,word,initial_tone,final_tone,accented_mora,mora_dur,mora_int,mora_f0_max,word_dur,word_int,word_f0_range
P20211210_16_46_Q089_T17_20_24,P20211210_16_46,26,40,51,1,ma,sumimasen,%LH,LHL%,ma,0.1113558567633317,56.77591765413417,131.0924847090186,0.5830135630227783,56.34897907352502,50.574172830663684
P20211210_16_46_Q089_T17_20_24,P20211210_16_46,26,40,51,1,se,sumimasen,%LH,LHL%,ma,0.1610875986188004,59.913348315026425,151.61371343772393,0.5830135630227783,56.34897907352502,50.574172830663684
P20211210_16_46_Q089_T17_20_24,P20211210_16_46,26,40,51,1,n,sumimasen,%LH,LHL%,ma,0.07567873760614785,54.232580923398544,128.44386859702797,0.5830135630227783,56.34897907352502,50.574172830663684
P20211210_16_46_Q090_T17_33_44,P20211210_16_46,69,30,25,1,su,sumimasendesita,%LH,LHL%,se,0.16929673286929803,51.5691338961247,598.393566269687,1.1075543990315229,58.39425708697168,507.13850786880414
P20211210_16_46_Q090_T17_33_44,P20211210_16_46,69,30,25,1,mi,sumimasendesita,%LH,LHL%,se,0.12168202674980777,57.47611550699141,134.98510307977688,1.1075543990315229,58.39425708697168,507.13850786880414
P20211210_16_46_Q090_T17_33_44,P20211210_16_46,69,30,25,1,ma,sumimasendesita,%LH,LHL%,se,0.12891579867873637,61.074162150489855,142.99459656616662,1.1075543990315229,58.39425708697168,507.13850786880414
P20211210_16_46_Q090_T17_33_44,P20211210_16_46,69,30,25,1,se,sumimasendesita,%LH,LHL%,se,0.18258442999486912,57.084949357539145,159.34656026722305,1.1075543990315229,58.39425708697168,507.13850786880414
P20211210_16_46_Q090_T17_33_44,P20211210_16_46,69,30,25,1,n,sumimasendesita,%LH,LHL%,se,0.0585122565466758,55.25041432314934,138.94074213752762,1.1075543990315229,58.39425708697168,507.13850786880414
P20211210_16_46_Q090_T17_33_44,P20211210_16_46,69,30,25,1,de,sumimasendesita,%LH,LHL%,se,0.10051993514114566,59.96659727592832,132.18911127140726,1.1075543990315229,58.39425708697168,507.13850786880414
P20211210_16_46_Q090_T17_33_44,P20211210_16_46,69,30,25,1,si,sumimasendesita,%LH,LHL%,se,0.09573317432559048,57.37246308901621,--undefined--,1.1075543990315229,58.39425708697168,507.13850786880414
P20211210_16_46_Q090_T17_33_44,P20211210_16_46,69,30,25,1,ta,sumimasendesita,%LH,LHL%,se,0.25031004472539964,59.86848457636946,116.62497562450018,1.1075543990315229,58.39425708697168,507.13850786880414
P20211210_16_46_Q091_T17_56_59,P20211210_16_46,20,4,95,0,go,gomenne,%LH,LHL%,n,0.0446793085421886,50.75202173699556,106.89612445018665,0.4866725839985304,59.27151560666702,71.00791683974062
P20211210_16_46_Q091_T17_56_59,P20211210_16_46,20,4,95,0,me,gomenne,%LH,LHL%,n,0.14822130989623572,58.42019053424998,127.25965978990453,0.4866725839985304,59.27151560666702,71.00791683974062
P20211210_16_46_Q091_T17_56_59,P20211210_16_46,20,4,95,0,n,gomenne,%LH,LHL%,n,0.06609869225102383,57.145784889209224,131.33048629086667,0.4866725839985304,59.27151560666702,71.00791683974062
P20211210_16_46_Q091_T17_56_59,P20211210_16_46,20,4,95,0,ne,gomenne,%LH,LHL%,n,0.22767327330908227,60.72318053860147,176.1173400575858,0.4866725839985304,59.27151560666702,71.00791683974062
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,mo,moosiwakearimasendesita,%LH,LHL%,ma,0.08434901364461256,60.58122289376186,151.29797515423343,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,o,moosiwakearimasendesita,%LH,LHL%,ma,0.04899138185526131,62.622213811766386,135.82407360240865,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,si,moosiwakearimasendesita,%LH,LHL%,ma,0.13227673100920556,61.595277752939694,150.70415870188896,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,wa,moosiwakearimasendesita,%LH,LHL%,ma,0.06858793459736579,63.715840323151454,128.48254132727462,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,ke,moosiwakearimasendesita,%LH,LHL%,ma,0.10383723459219207,65.044707446415,158.3317928785812,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,a,moosiwakearimasendesita,%LH,LHL%,ma,0.05587074777962364,68.55756998959006,138.3320629186441,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,ri,moosiwakearimasendesita,%LH,LHL%,ma,0.05307666525837251,62.60439093054203,126.30637012243214,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,ma,moosiwakearimasendesita,%LH,LHL%,ma,0.09518325617593626,61.06538626388752,124.59548448320892,1.1360000000000001,63.15292875725463,52.28869734832546
